Study,y1,n1,y0,n0
"Tonstad, 2006",0,602,3,604
"Jorenby, 2006",1,343,0,340
"Gonzales, 2006",0,349,1,344
"Williams, 2007",1,251,0,126
"Tsai, 2007",0,126,2,124
"Faessel, 2009",1,14,0,7
"Rigotti, 2010",0,353,1,350
"Hughes, 2011",0,107,1,111
"Garza, 2011",1,55,0,55
"Bolliger, 2011",1,390,0,198
"Tashkin, 2011",1,248,0,251
"Williams, 2012",0,84,1,43
"Rennard, 2012",2,486,0,165
"Mitchell, 2012",2,33,0,31
"Stein, 2013",18,111,10,33
"Litten, 2013",6,97,4,101
"Meszaros, 2013",1,5,0,5
"Anthenelli, 2013",2,256,1,269
"Chengappa, 2014",1,31,0,29
"Gonzales, 2014",1,249,0,245
"Brandon, 2011",0,46,0,54
"Steinberg, 2011",0,40,0,39
